Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 26, 2024","$69,931.33","$71,535.74","$69,335.61","$69,987.84","$36,010,437,368","$1,376,403,313,500"
"Mar 25, 2024","$67,234.10","$71,162.59","$66,414.83","$69,958.81","$42,700,139,523","$1,375,150,091,237"
"Mar 24, 2024","$64,070.75","$67,622.76","$63,825.85","$67,234.17","$27,206,630,673","$1,322,058,484,489"
"Mar 23, 2024","$63,802.72","$65,976.40","$63,038.49","$64,062.20","$24,738,964,812","$1,259,788,729,091"
"Mar 22, 2024","$65,489.93","$66,623.75","$62,355.37","$63,778.76","$41,401,116,964","$1,254,457,600,698"
"Mar 21, 2024","$67,911.58","$68,199.99","$64,580.92","$65,491.39","$44,480,350,565","$1,287,574,561,971"
"Mar 20, 2024","$61,930.15","$68,115.26","$60,807.79","$67,913.67","$66,792,634,382","$1,335,131,959,555"
"Mar 19, 2024","$67,556.13","$68,106.93","$61,536.18","$61,912.77","$74,215,844,794","$1,217,479,093,666"
"Mar 18, 2024","$68,371.31","$68,897.13","$66,594.23","$67,548.59","$49,261,579,492","$1,328,015,048,454"
"Mar 17, 2024","$65,316.34","$68,845.72","$64,545.32","$68,390.62","$44,716,864,318","$1,343,978,205,473"
"Mar 16, 2024","$69,392.49","$70,046.27","$64,801.40","$65,315.12","$46,842,198,371","$1,283,870,289,170"
"Mar 15, 2024","$71,387.87","$72,357.13","$65,630.69","$69,403.77","$78,320,453,976","$1,363,928,841,107"
"Mar 14, 2024","$73,079.37","$73,750.07","$68,563.02","$71,396.59","$59,594,605,698","$1,403,092,953,866"
"Mar 13, 2024","$71,482.12","$73,637.47","$71,334.09","$73,083.50","$48,212,536,929","$1,436,271,822,606"
"Mar 12, 2024","$72,125.12","$72,825.66","$68,728.85","$71,481.29","$62,554,434,520","$1,404,810,311,680"
"Mar 11, 2024","$69,020.55","$72,850.71","$67,194.89","$72,123.90","$65,716,656,765","$1,417,380,747,796"
"Mar 10, 2024","$68,500.26","$70,005.20","$68,239.98","$69,019.79","$35,683,977,532","$1,356,284,493,147"
"Mar 09, 2024","$68,299.26","$68,673.06","$68,053.13","$68,498.88","$21,609,650,379","$1,346,014,614,978"
